Donor,Donor Status,Donor Age (months),Transplantation Efficiency,Shannon Index at day 28,Mouse ID Number,0,1,3,4,7,11,14,18,21,25,28,32,At sacrifice,Average body weight gain at sacrifice by donor group
4092C,Undernourished,6.2,> 50%,2.936597082,7,100,97.2,96.7,96.7,97.7,95.8,100,103.3,103.8,103.8,106.1,107,106.6,
4092C,Undernourished,6.2,> 50%,3.231043938,8,100,98.4,100,97.9,100.5,103.2,105.3,106.4,108,105.9,107,109.6,109.1,
4092C,Undernourished,6.2,> 50%,nd,9,100,96,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,
4092C,Undernourished,6.2,> 50%,2.936392118,12,100,95.7,96.3,96.8,106.4,103.7,112.2,113.3,116.5,118.1,121.8,123.9,123.4,
179B.8,Healthy,17.2,< 50%,4.647562293,1,100,91.6,91.1,91.1,97.8,103.9,107.3,108.4,114,113.4,115.6,119.6,123.3,129.1
179B.8,Healthy,17.2,< 50%,4.713542251,3,100,93.9,89,92,94.5,95.1,103.7,104.3,116.6,109.8,112.9,120.9,120.2,
179B.8,Healthy,17.2,< 50%,4.665922715,5,100,92.3,93.8,93.8,95.4,96.2,110.8,111.5,119.2,116.9,126.9,136.9,139.8,
179B.8,Healthy,17.2,< 50%,4.60140589,6,100,94.2,81.8,85.4,92.7,101.5,110.9,118.2,124.8,123.4,130.7,138,137.1,
179B.8,Healthy,17.2,< 50%,4.737212615,9,100,95.9,98.5,100,101.5,104.1,111.7,109.2,117.9,117.3,122.4,124,125.2,
274B.9,Healthy,18.5,> 50%,3.654622,1,100,102.9,95.6,100,102.2,107.4,104.4,115.4,118.4,121.3,132.4,132.4,133.2,129.4
274B.9,Healthy,18.5,> 50%,3.712720335,2,100,97.9,92.4,97.2,97.2,98.6,100.7,106.9,111.1,113.9,122.2,125.7,127.6,
274B.9,Healthy,18.5,> 50%,3.818009099,4,100,103.2,99.2,105.6,113.6,114.4,109.6,123.2,133.6,133.6,145.6,150.4,154.4,
274B.9,Healthy,18.5,> 50%,3.704633993,5,100,101.5,97.5,100.5,96.1,99,97.5,100,101,103.9,105.9,107.4,109.3,
274B.9,Healthy,18.5,> 50%,3.682181439,8,100,97.3,89.7,94,96.2,100,99.5,104.3,108.7,112,121.7,122.3,122.3,
302A.9,Healthy,18.7,< 50%,4.528305946,1,100,96.4,91.1,95.8,97,99.4,102.4,103,104.2,104.2,106,108.3,109.6,111.5
302A.9,Healthy,18.7,< 50%,4.67099306,3,100,94.4,99.4,100.6,102.5,105.6,105.6,109.3,111.7,114.2,114.8,114.8,114.3,
302A.9,Healthy,18.7,< 50%,4.644228561,4,100,94.5,90.9,93.9,99.4,103,104.2,102.4,105.5,106.1,106.7,107.9,105.2,
302A.9,Healthy,18.7,< 50%,4.436859465,6,100,94.2,97.4,100.6,106.5,109.1,109.1,112.3,114.3,114.9,114.9,117.5,119.8,
302A.9,Healthy,18.7,< 50%,4.560232158,10,100,96.4,92.8,89.9,96.4,100.7,104.3,107.2,109.4,112.3,111.6,110.1,108.7,
302B.9,Healthy,18.7,< 50%,4.096967105,1,100,96.2,104.4,99.4,100,101.3,101.9,105.7,107.5,107.5,110.7,111.1,Dead,na
302B.9,Healthy,18.7,< 50%,4.361210555,5,100,93.6,94.2,96.5,98.2,96.5,97.1,98.8,98.8,101.2,103.5,102.7,Dead,
302B.9,Healthy,18.7,< 50%,nd,7,100,97,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,
